Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,0,5.0,0,115000.0
151,0,15.0,0,120000.0
149,0,6.0,0,87896.0
151,2,1.0,0,99000.0
151,0,11.0,0,150000.0
28,0,1.0,0,55967.0
99,0,6.0,0,64859.0
149,3,2.0,0,84019.0
136,1,10.0,0,142308.0
151,2,10.0,0,110000.0
151,0,3.0,0,69000.0
151,0,7.0,0,55000.0
131,2,4.0,0,36753.0
149,1,2.0,0,27144.0
151,2,4.0,0,130000.0
44,1,2.0,0,31348.0
28,0,0.5,0,68068.0
149,0,2.0,0,387780.0
151,0,1.0,0,125000.0
151,0,3.0,0,100000.0
111,0,6.0,0,14220.0
151,0,7.0,0,140000.0
151,0,15.0,2,200000.0
50,0,23.0,0,97288.0
151,0,7.0,0,90000.0
149,0,7.0,0,659220.0
151,0,16.0,0,144000.0
28,1,2.0,0,52942.0
151,2,5.0,0,140000.0
149,0,7.0,0,71093.0
28,2,20.0,0,136136.0
112,2,9.0,0,39492.0
151,1,28.0,0,90000.0
28,0,3.0,0,64287.0
151,1,1.0,0,48500.0
151,2,6.0,0,92300.0
28,0,3.0,0,56723.0
22,1,11.0,0,24744.0
151,0,9.0,0,90000.0
28,1,30.0,2,75631.0
149,2,20.0,0,39941.0
149,1,11.0,0,775560.0
151,0,4.0,0,100000.0
28,1,3.0,0,44622.0
52,1,0.5,0,11676.0
151,0,12.0,0,107000.0
151,2,4.0,0,95000.0
151,0,18.0,0,93840.0
151,1,18.0,0,79095.0
7,0,20.0,0,46767.0
149,1,4.0,0,51704.0
151,2,4.0,0,105000.0
28,2,10.0,0,43866.0
28,0,5.0,0,60505.0
144,0,0.5,0,216960.0
110,0,17.0,0,56760.0
62,0,2.0,0,23735.0
28,2,22.0,0,39328.0
151,0,7.0,0,115000.0
28,2,16.0,0,71850.0
151,0,13.0,0,104000.0
35,0,13.0,0,41618.0
28,0,26.0,0,117229.0
28,2,4.0,0,35849.0
151,0,4.0,0,105000.0
50,0,15.0,0,739392.0
149,0,16.0,1,56874.0
28,1,15.0,0,151263.0
151,1,22.0,0,80000.0
132,0,3.0,0,9564.0
28,1,20.0,0,52942.0
68,0,8.0,0,105072.0
151,0,1.0,0,75000.0
151,1,6.0,2,85000.0
149,1,6.0,0,77556.0
151,0,10.0,0,170000.0
22,3,8.0,2,27492.0
151,0,4.0,0,68000.0
28,0,5.0,0,55211.0
138,0,4.0,0,36456.0
151,0,9.0,0,119820.0
69,2,6.0,0,32429.0
149,2,20.0,0,581667.0
151,0,10.0,0,100000.0
151,0,0.5,0,65000.0
149,1,2.0,0,32315.0
151,0,5.0,0,73000.0
151,3,3.0,0,110000.0
151,1,20.0,0,150000.0
151,1,20.0,0,115000.0
151,0,2.0,0,70338.0
151,2,20.0,0,154000.0
50,3,14.0,0,107017.0
151,2,5.0,0,68000.0
50,0,2.0,0,47563.0
149,1,4.0,0,372264.0
28,1,1.0,0,33900.0
50,2,4.0,0,50266.0
62,0,3.0,0,10471.0
149,0,6.0,0,46533.0
151,0,3.0,0,108000.0
151,0,7.0,0,118500.0
151,0,3.0,0,60000.0
151,0,2.0,0,70000.0
151,0,16.0,0,140000.0
28,0,27.0,0,77144.0
149,0,13.0,0,84019.0
77,1,4.0,0,312.0
151,0,3.0,0,180000.0
50,2,12.0,0,45396.0
151,0,2.0,0,95000.0
151,2,13.0,0,115000.0
151,0,5.0,0,140000.0
151,0,15.0,0,156000.0
28,0,12.0,0,55967.0
151,0,13.0,0,1500000.0
33,2,26.0,0,45288.0
42,0,1.0,0,6000.0
151,0,17.0,0,100000.0
149,0,3.0,0,40070.0
151,3,30.0,0,250000.0
50,0,8.0,0,81074.0
151,2,1.0,0,59999.0
149,2,10.0,0,84019.0
28,0,8.0,0,71850.0
112,0,2.0,0,25272.0
5,0,14.0,0,14796.0
28,0,6.0,0,71494.0
28,2,0.5,0,48950.0
64,0,4.0,0,25656.0
151,0,18.0,0,156500.0
151,2,20.0,0,175000.0
151,0,10.0,0,98000.0
22,0,7.0,0,12372.0
47,1,10.0,0,45396.0
151,0,24.0,0,140000.0
28,2,2.0,0,52942.0
151,0,5.0,0,98000.0
151,0,5.0,0,90000.0
151,3,1.0,0,50000.0
28,0,7.0,0,98321.0
151,2,20.0,0,150000.0
66,3,8.0,0,151337.0
113,2,2.0,0,12324.0
131,3,7.0,0,415092.0
151,0,1.0,0,60000.0
91,0,9.0,0,48478.0
22,0,15.0,0,32070.0
151,1,6.0,0,119200.0
51,0,4.0,0,8544.0
144,0,2.0,0,575.0
22,0,18.0,0,32070.0
28,0,4.0,0,68824.0
151,2,13.0,0,175000.0
28,0,15.0,0,137271.0
151,1,25.0,0,95000.0
151,2,6.0,0,88000.0
50,0,10.0,1,42804.0
1,0,2.0,0,10812.0
105,2,2.0,0,75527.0
69,2,14.0,0,37834.0
